word,category
believe,ie/ei
conceive,ie/ei
field,ie/ei
brief,ie/ei
chief,ie/ei
grief,ie/ei
relief,ie/ei
mischief,ie/ei
niece,ie/ei
piece,ie/ei
siege,ie/ei
priest,ie/ei
fierce,ie/ei
pierce,ie/ei
achieve,ie/ei
believe,ie/ei
relieved,ie/ei
retrieve,ie/ei
diesel,ie/ei
hygiene,ie/ei
receipt,ie/ei
beige,ie/ei
neighbours,ie/ei
height,ie/ei
either,ie/ei
leisure,ie/ei
science,ie/ei
science,ie/ei
ceiling,ie/ei
deceit,ie/ei
ancient,ie/ei
efficient,ie/ei
friend,ie/ei
caffeine,ie/ei
seize,ie/ei
weird,ie/ei
species,ie/ei